SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId,ImportDate
陽明,臺北市,55,細懸浮微粒,普通,0.4,0.22,0.2,52.1,45,22,15,1.6,1.9,0.3,,,2021/9/17 16:00,17,20,0,121.529583,25.182722,64,44:01.4
宜蘭,宜蘭縣,39,,良好,1.6,0.22,0.2,48.3,42,17,10,3.9,4.5,0.5,2.2,73,2021/9/17 16:00,10,18,1,121.746394,24.747917,65,44:01.4
冬山,宜蘭縣,32,,良好,0.6,0.21,0.2,36.9,35,13,7,9.7,12.7,2.9,2,51,2021/9/17 16:00,8,18,0,121.792928,24.632203,66,44:01.4
三重,新北市,66,細懸浮微粒,普通,3.1,1.1,1.1,15.3,28,27,23,40.7,82.7,42,-,-,2021/9/17 16:00,21,35,1,121.493806,25.072611,67,44:01.4
中壢,桃園市,82,細懸浮微粒,普通,1.9,1.06,0.9,36.5,40,39,27,40.8,55.9,15.1,1.3,285,2021/9/17 16:00,28,40,1,121.221667,24.953278,68,44:01.4
竹山,南投縣,74,細懸浮微粒,普通,1.7,0.23,0.1,72.3,62,41,32,7.1,8,0.9,1.9,348,2021/9/17 16:00,24,34,1,120.677306,23.756389,69,44:01.4
永和,新北市,65,細懸浮微粒,普通,1,0.54,0.9,34,43,23,20,20.8,25.1,4.2,1.1,110,2021/9/17 16:00,21,28,0,121.516306,25.017,70,44:01.4
復興,高雄市,23,,良好,0.4,0.22,0.2,26,25,9,2,4.3,5.6,1.3,1.2,268,2021/9/17 16:00,5,15,2,120.312017,22.608711,71,44:01.4
埔里,南投縣,56,細懸浮微粒,普通,1.8,0.27,0.2,84,52,38,31,4.5,5.5,1,3.9,281,2021/9/17 16:00,17,26,1,120.967903,23.968842,72,44:01.4
馬祖,連江縣,58,臭氧八小時,普通,0.8,0.18,0.1,60.3,57,19,8,4.3,7.3,2.9,0.3,243,2021/9/17 16:00,9,17,0,119.949875,26.160469,75,44:01.4
金門,金門縣,67,臭氧八小時,普通,1.3,0.19,0.2,63.5,60,27,13,1.8,2.5,0.6,3.3,132,2021/9/17 16:00,18,29,1,118.312256,24.432133,77,44:01.4
馬公,澎湖縣,58,臭氧八小時,普通,1,0.18,0.2,55.2,57,16,8,2.1,3,0.8,1.9,303,2021/9/17 16:00,11,20,1,119.566158,23.569031,78,44:01.4
關山,臺東縣,26,,良好,1.4,-,-,32.8,28,11,8,1.6,2.3,0.6,1.9,212,2021/9/17 16:00,4,14,1,121.161933,23.045083,80,44:01.4
麥寮,雲林縣,71,臭氧八小時,普通,4.1,0.21,0.2,59.6,61,29,17,9.8,11,1.2,2.1,326,2021/9/17 16:00,16,29,2,120.251825,23.753506,83,44:01.4
富貴角,新北市,54,臭氧八小時,普通,0.2,0.18,0.1,61.1,56,24,8,0.5,0.5,0,5.8,90,2021/9/17 16:00,11,39,0,121.54738,25.29228,84,44:01.4
大城,彰化縣,77,臭氧八小時,普通,2.1,0.16,0.1,78,63,31,22,0.5,1.7,1.2,3.2,346,2021/9/17 16:00,19,30,1,120.2696417,23.85493056,85,44:01.4
湖內,高雄市,43,,良好,2.1,0.14,0.2,41.5,46,3,7,1,2.4,1.4,1.7,84,2021/9/17 16:00,10,16,3,120.24535,22.87985556,202,44:01.4
臺南(麻豆),臺南市,47,,良好,1,0.17,0.2,54.8,51,24,12,4.3,5.8,1.5,1.7,356,2021/9/17 16:00,14,27,2,120.2458306,23.17904722,203,44:01.4
屏東(琉球),屏東縣,22,,良好,0.4,0.16,0.1,22.3,,9,9,1.8,2.8,1,1,177,2021/9/17 16:00,6,13,0,120.37722,22.35222,204,44:01.4
新北(樹林),新北市,67,細懸浮微粒,普通,0.7,0.41,0.4,47.8,52,26,21,25.5,27.2,1.7,0.1,203,2021/9/17 16:00,22,33,0,121.3835278,24.94902778,311,44:01.4
臺南(學甲),臺南市,41,,良好,0.3,0.21,0.2,44.6,44,21,9,8.6,14.9,6.3,2.4,300,2021/9/17 16:00,12,23,1,120.1833972,23.23688056,312,44:01.4
屏東(建興),屏東縣,31,,良好,2.7,0.09,0.1,23,33,5,0,1.4,1.8,0.4,0.2,116,2021/9/17 16:00,5,9,0,121.0037917,22.650525,313,44:01.4
